Rank,Release Group,Worldwide,Domestic,%,Foreign,%
86,Juega Conmigo,"$1,548,495",-,-,"$1,548,495",100%
87,La La Land 2020 Re-release,"$1,456,649",-,-,"$1,456,649",100%
88,French Exit,"$1,445,629","$661,231",45.7%,"$784,398",54.3%
89,Boss Level,"$1,445,242",-,-,"$1,445,242",100%
90,Eeswaran,"$1,413,760",-,-,"$1,413,760",100%
91,New Year Blues,"$1,344,633",-,-,"$1,344,633",100%
92,I Care a Lot,"$1,279,918",-,-,"$1,279,918",100%
93,Zombie Reddy,"$1,242,321",-,-,"$1,242,321",100%
94,Ainbo,"$1,142,139",-,-,"$1,142,139",100%
95,Sailor Moon Eternal,"$1,130,225",-,-,"$1,130,225",100%
96,Extinct,"$1,119,544",-,-,"$1,119,544",100%
97,Crisis,"$1,113,537","$404,738",36.3%,"$708,799",63.7%
98,Super Me,"$1,100,000",-,-,"$1,100,000",100%
99,Aria the Crepuscolo,"$1,087,319",-,-,"$1,087,319",100%
100,Cousins,"$1,075,773",-,-,"$1,075,773",100%
101,The Way We Keep Dancing,"$1,074,644",-,-,"$1,074,644",100%
102,In the Earth,"$1,070,606","$1,070,606",100%,-,-
103,Shadow in the Cloud,"$1,024,767","$156,932",15.3%,"$867,835",84.7%
104,Crazy Wedding 3,"$1,023,947",-,-,"$1,023,947",100%
105,Together Together,"$1,018,378","$1,018,378",100%,-,-
106,The North Wind,"$1,003,414",-,-,"$1,003,414",100%
107,Zoya,"$944,885",-,-,"$944,885",100%
108,The Lord of the Rings: The Fellowship of the Ring 2019 Re-release,"$933,488",-,-,"$933,488",100%
109,In the Mood for Love 2020 Re-release,"$933,045",-,-,"$933,045",100%
110,Supernova,"$873,354","$234,220",26.8%,"$639,134",73.2%
111,The Box,"$831,394",-,-,"$831,394",100%
112,Lamb of God: The Concert Film,"$742,787","$742,787",100%,-,-
113,Jathi Ratnalu,"$731,273","$470,000",64.3%,"$261,273",35.7%
114,Scott Pilgrim vs. the World 10th Anniversary (2021 Re-release),"$720,000","$720,000",100%,-,-
115,Long Story Short,"$676,012",-,-,"$676,012",100%
116,The Vault,"$674,620",-,-,"$674,620",100%
117,Our Friend,"$663,725","$663,725",100%,-,-
118,Ready o/r Knot,"$657,371",-,-,"$657,371",100%
119,Tazza: One-Eyed Jack 2021 Re-release,"$645,401",-,-,"$645,401",100%
120,Music,"$644,476",-,-,"$644,476",100%
121,Maya the Bee 3: The Golden Orb,"$617,326",-,-,"$617,326",100%
122,The Truffle Hunters,"$600,802","$166,025",27.6%,"$434,777",72.4%
123,Three Sisters 2021 Re-release,"$594,075",-,-,"$594,075",100%
124,Long Weekend,"$528,438","$528,438",100%,-,-
125,Dark Spell,"$515,596",-,-,"$515,596",100%
126,Girls Can't Surf,"$501,970",-,-,"$501,970",100%
127,Riders of Justice,"$454,000",-,-,"$454,000",100%
128,Kalathil Sandhippom,"$453,001",-,-,"$453,001",100%
129,Gekijouban Bang Dream! Episode of Roselia: Promise,"$439,068",-,-,"$439,068",100%
130,Twist,"$438,168",-,-,"$438,168",100%
131,2021 Oscar Nominated Short Films: Live Action,"$431,847","$431,847",100%,-,-
132,Willy's Wonderland,"$423,279","$418,286",98.8%,"$4,993",1.2%
133,The Cinderella Addiction,"$421,202",-,-,"$421,202",100%
134,Bangaru Bullodu,"$418,267",-,-,"$418,267",100%
